SOC,SOC Title,Statewide,Abilene,Amarillo,Austin-Round Rock,Beaumont-Port Arthur,Brownsville-Harlingen,College Station-Bryan,Corpus Christi,Dallas-Fort Worth-Arlington,El Paso,Houston-The Woodlands-Sugarland,Killeen-Temple,Laredo,Longview,Lubbock,McAllen-Edinburg-Mission,Midland,Odessa,San Angelo,San Antonio-New Braunfels,Sherman-Denison,Texarkana,Tyler,Victoria,waco,Wichita Falls
"    ""13-1121""","Meeting, Convention, and Event Planners",47974,39093,37872,48011,38355,39291,41163,40941,50788,43761,49930,43040,36866,39168,41031,24992,57068,42243,47816,46849,28649,0,37204,0,0,54878
"    ""13-1131""",Fundraisers,59862,36136,43323,58037,47316,52415,59013,53918,62990,49889,64981,66827,0,0,49395,62720,47374,52268,0,54028,0,0,51049,0,0,48231
"    ""13-1141""","Compensation, Benefits, and Job Analysis Specialists",63725,0,47716,61301,55803,56031,58774,66087,64328,56556,66154,57219,48307,53032,36653,50422,65209,0,50807,67567,0,0,54160,0,54058,55608
"    ""13-1151""",Training and Development Specialists,62992,45481,47936,58405,61892,53185,59788,53262,69788,46171,65536,60838,48585,61950,43718,55426,65409,59923,40172,58399,45255,34574,49091,62150,61237,59162
"    ""13-1161""",Market Research Analysts and Marketing Specialists,69619,41160,58588,73212,59384,49305,54471,64472,77799,52932,62696,68855,46700,50954,50604,58014,74073,58075,30304,61657,52206,53070,66888,36858,49134,53793
"    ""13-1198""","Project Management Specs & Business Operations Specs, AO",78943,63522,72539,77337,79235,66127,62329,75076,84723,65155,80026,76797,57396,69197,61570,63831,84939,69062,69235,75318,57032,67826,64978,73799,63576,66126
"    ""13-2011""",Accountants and Auditors,73415,64406,70591,70764,64406,57191,57259,69493,77523,59316,76970,63027,58048,71218,65878,57811,89905,72041,58586,66872,64779,66137,76342,74565,64599,69664
"    ""13-2020""",Property Appraisers and Assessors,59492,109207,62190,56958,54665,0,38557,53464,67479,48375,65906,46079,48400,47221,47893,49699,77757,54149,60261,67992,0,0,52905,53896,48578,49276
"    ""13-2031""",Budget Analysts,74733,58196,57810,70280,70582,61051,72539,70256,78509,68234,85676,74676,54514,61279,55584,65239,0,72200,0,77342,0,70410,63134,0,56534,68274
"    ""13-2041""",Credit Analysts,67455,0,58799,64902,57328,0,66137,75441,71024,60159,69433,46150,58090,57893,60400,59768,70202,0,0,68214,0,0,46472,0,56333,57157
"    ""13-2052""",Personal Financial Advisors,79354,82424,71386,72965,62847,0,81980,97260,83339,110587,76388,77860,0,59314,65894,83180,104560,0,0,77158,0,86661,126410,95462,96697,0
"    ""13-2053""",Insurance Underwriters,66452,0,0,79773,0,0,0,0,65898,62334,66968,44527,0,0,0,64545,0,0,0,63961,0,0,60921,0,59738,0
"    ""13-2061""",Financial Examiners,74767,0,48121,74245,51470,0,58657,0,78301,0,80973,56901,0,68731,67133,65407,73396,0,0,75700,50522,64083,58412,0,62198,0
"    ""13-2071""",Credit Counselors,40724,36365,30938,44528,41130,39737,40490,36757,42523,35770,41434,31628,33837,32016,33234,37816,0,0,52912,43949,0,0,0,0,39554,0
"    ""13-2072""",Loan Officers,69008,68736,79647,73794,67085,64686,80314,59197,75203,62499,63818,67695,62748,59990,67232,65336,65830,74513,51414,65935,68374,81337,97257,54202,65791,73396
"    ""13-2081""","Tax Examiners and Collectors, and Revenue Agents",48935,0,70413,44960,0,66915,0,51847,88205,45799,93214,0,41073,0,0,47417,0,0,0,73070,0,0,0,0,44923,0
"    ""13-2082""",Tax Preparers,56707,61948,0,0,51950,0,86054,42366,0,26043,0,18376,0,0,0,54957,0,0,36630,58947,46578,32191,0,0,43427,41347
"    ""13-2098""","Fin & Investment Analysts, Fin Risk Specs, & Fin Specs, AO",78469,66187,64982,75041,66909,67075,65658,63377,78684,65070,86770,71306,66511,63793,58569,63923,80249,81738,67365,76893,36181,58180,63606,72711,60530,83760
"    ""15-0000""",Computer and Mathematical Occupations,90132,55132,68350,88457,70334,49622,65521,66357,95218,62161,94621,74639,54591,67678,58872,53435,0,67419,67802,83518,71423,63517,68092,59827,62248,0
"    ""15-1211""",Computer Systems Analysts,97234,62279,77925,82494,100621,71585,73345,93587,99015,71931,115633,69509,70680,89161,74678,60756,0,77973,71953,89815,73176,51028,69559,79057,67659,70036
"    ""15-1212""",Information Security Analysts,110679,91729,90430,109204,0,0,92143,77492,115826,92541,114359,92977,0,72005,86124,87581,114598,93958,24935,93002,0,0,95592,0,79046,92865
"    ""15-1221""",Computer and Information Research Scientists,123773,0,0,117616,0,0,0,0,135773,0,123979,0,0,0,0,0,0,0,0,116377,0,0,0,0,0,0
"    ""15-1231""",Computer Network Support Specialists,70948,43468,47313,56621,63294,53282,60375,47593,89068,50096,76308,63569,50040,51356,54455,46612,68480,49916,57895,59895,50199,43205,49673,0,58106,39848
"    ""15-1232""",Computer User Support Specialists,47459,45111,46435,50495,45800,35983,43621,42003,47819,41564,49044,49043,37250,48707,44568,40479,47188,39937,43624,46736,46304,45258,44137,40712,37071,47504
"    ""15-1241""",Computer Network Architects,120699,0,109623,120626,110088,0,84276,0,125214,117738,119427,85435,0,103831,97178,96500,98570,94107,0,115003,0,0,108049,0,82278,81067
"    ""15-1244""",Network and Computer Systems Administrators,82609,63200,82468,80868,71805,48927,67063,56729,86823,64256,91791,75740,63429,69776,66715,64044,85146,75232,69015,77277,76635,68010,78673,74588,70994,64507
"    ""15-1245""",Database Administrators and Architects,104356,90471,78429,108058,80333,68143,87778,88666,106610,77136,100688,78772,91845,114866,69138,81744,98074,89991,83233,105407,105496,0,83197,0,92090,0
"    ""15-1251""",Computer Programmers,91826,59842,80006,80731,77338,61195,81437,72042,92944,69308,105699,105691,74315,71345,61042,74615,115928,69762,84869,87181,0,0,74447,89814,70674,77500
"    ""15-1256""",Software Developers and Software Quality Assurance Analysts and Testers,108150,94710,84640,107145,103266,72151,85027,97712,110211,86845,107470,92349,95528,97074,74643,92249,106505,84784,114433,110179,91634,89592,85751,55870,103923,0
"    ""15-1257""",Web Developers and Digital Interface Designers,72187,62704,42506,75095,58785,59213,58931,52490,76013,58357,67858,60452,50647,34363,44124,49689,0,55129,59889,73352,0,0,55624,0,61504,68725
"    ""15-1299""","Computer Occupations, All Other",89746,42214,66329,93349,53796,80588,71532,77109,97062,78174,82389,78185,63011,57772,60813,67212,92023,105577,73216,89918,71470,0,70869,0,69742,79117
"    ""15-2011""",Actuaries,106406,0,0,107226,0,0,0,0,110060,0,103067,0,0,0,0,0,0,0,0,137327,0,0,0,0,0,0
"    ""15-2021""",Mathematicians,62094,0,0,0,0,0,0,0,29547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""15-2031""",Operations Research Analysts,85009,0,90296,81101,0,0,65664,88992,87351,61491,88948,108151,63793,89040,66427,69232,78986,0,0,82900,0,0,0,0,71146,0
"    ""15-2041""",Statisticians,83396,0,0,84820,0,77228,56357,0,89132,90447,82636,0,0,0,0,0,0,0,0,71704,73557,0,0,0,0,0
"    ""15-2098""","Data Scientists and Mathematical Science Occupations, All Other",101415,0,0,107061,0,0,0,0,100410,81405,107493,97705,0,0,0,0,0,0,0,93612,0,0,0,0,0,0
"    ""17-0000""",Architecture and Engineering Occupations,83125,67904,81023,82542,92806,59617,42722,80135,84765,63470,91775,70676,56306,68442,62142,57855,93520,80511,0,75192,70005,64793,62630,91755,76295,0
"    ""17-1011""","Architects, Except Landscape and Naval",78579,76312,76239,76776,0,0,58890,75655,80430,70997,80726,74934,0,0,84137,60212,46089,0,0,66044,0,0,72180,0,71762,75287
"    ""17-1012""",Landscape Architects,69335,0,71443,69886,0,0,0,0,50601,0,67656,0,0,0,0,0,0,0,0,79172,0,0,0,0,0,0
"    ""17-1021""",Cartographers and Photogrammetrists,66193,0,0,61801,59862,39830,0,54530,74895,44062,65034,73080,0,67814,59959,0,72207,0,0,65938,0,0,71060,0,0,0
"    ""17-1022""",Surveyors,60133,49413,44945,71941,65464,47176,62728,50769,60978,57704,62818,48367,81277,38697,50299,39265,62380,0,0,53832,51277,61676,50941,0,0,0
"    ""17-2011""",Aerospace Engineers,132270,0,0,129042,0,0,49442,95950,130882,0,140473,0,0,0,0,0,0,0,0,112535,0,0,0,0,128984,0
"    ""17-2021""",Agricultural Engineers,78691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""17-2031""",Bioengineers and Biomedical Engineers,85676,0,0,102099,0,0,30194,0,89272,0,92556,0,0,0,0,0,0,0,0,94314,0,0,0,0,0,0
"    ""17-2041""",Chemical Engineers,127710,0,0,122854,130623,0,57295,123357,115943,0,135045,0,0,0,0,0,144492,0,0,0,0,0,103404,0,117784,0
"    ""17-2051""",Civil Engineers,83135,69580,65237,85142,76718,70744,59814,78460,88790,64482,90887,77424,69033,64860,62727,71083,79774,76074,71765,79176,63983,74331,74542,67577,60542,54673
"    ""17-2061""",Computer Hardware Engineers,115688,0,0,117216,0,0,24497,0,118231,0,113568,0,0,0,0,0,0,0,0,104129,0,0,0,0,0,0
"    ""17-2071""",Electrical Engineers,102731,99500,104231,105729,109382,92050,24887,101494,100687,82635,108296,116040,78368,83345,77652,90866,107738,105686,0,88733,0,83240,86848,0,90871,114359
"    ""17-2072""","Electronics Engineers, Except Computer",116772,0,100664,123572,0,0,38504,89987,125483,98919,111075,80031,0,0,88264,0,92751,104715,0,95142,0,0,101067,0,114132,0
"    ""17-2081""",Environmental Engineers,105571,0,109391,77489,123215,0,18459,105581,117906,118100,104987,80350,0,64549,0,68761,95957,0,0,104536,0,0,0,0,84436,0
"    ""17-2111""","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",102156,0,94658,107663,103814,0,72129,80228,98777,99884,108340,0,0,98694,0,95813,87239,116260,0,103704,0,0,0,0,97739,0
"    ""17-2112""",Industrial Engineers,96298,100894,103338,93858,100041,78594,51495,103728,95358,87194,111485,88202,75658,83610,77929,88767,104267,94492,103226,87174,75725,78035,0,90175,90720,88530
"    ""17-2121""",Marine Engineers and Naval Architects,105314,0,0,0,93690,0,0,0,0,0,110996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""17-2131""",Materials Engineers,102499,0,0,99240,108546,0,49943,104425,99058,69198,122852,0,0,94187,0,0,0,0,0,97183,0,0,0,0,108571,0
"    ""17-2141""",Mechanical Engineers,94800,78118,98197,90048,112710,80060,27350,100269,93870,66947,99861,79749,0,84373,80328,75869,112572,81690,104000,90404,68492,89521,0,95564,94292,90374
"    ""17-2151""","Mining and Geological Engineers, Including Mining Safety Engineers",90983,0,0,86199,0,0,0,0,107347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""17-2161""",Nuclear Engineers,117789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""17-2171""",Petroleum Engineers,152865,0,0,123878,179956,0,0,0,0,0,163367,0,0,95044,0,117785,120324,120905,144307,131802,0,0,117413,116002,0,149802
"    ""17-2199""","Engineers, All Other",117647,0,116854,100093,126858,0,71100,82270,109340,94637,137087,120595,0,110866,62641,142933,127081,124063,0,116804,110197,100353,0,107181,109172,114494
"    ""17-3011""",Architectural and Civil Drafters,54878,46747,48276,51591,61091,36948,51393,55053,55533,38399,57767,54034,48657,53127,38320,41779,55172,49768,49551,59350,44010,0,51071,54648,50283,47543
"    ""17-3012""",Electrical and Electronics Drafters,59215,60724,59160,61394,0,0,47820,0,65935,31955,58401,0,0,0,55271,37078,63563,0,0,54187,0,0,0,0,60632,0
"    ""17-3013""",Mechanical Drafters,57497,40820,52247,54515,60140,45319,52101,0,57731,45907,61212,50155,0,56854,32756,33945,54527,59451,0,54372,62489,39688,44232,0,53190,51534
"    ""17-3019""","Drafters, All Other",47497,0,0,48872,46238,0,0,0,48320,44544,47279,43419,0,0,0,27644,0,0,0,42407,0,0,48766,0,0,0
"    ""17-3021""",Aerospace Engineering and Operations Technologists and Technicians,67402,0,0,61516,0,0,0,0,73616,0,95154,0,0,0,0,0,0,0,0,71905,0,0,0,0,73320,0
"    ""17-3022""",Civil Engineering Technologists and Technicians,40903,41244,0,56637,37637,36377,38687,42953,40732,36581,47597,37383,38861,40143,40911,42451,62161,46848,38858,45452,37582,38439,41668,35162,37636,39253
"    ""17-3023""",Electrical and Electronic Engineering Technologists and Technicians,69309,71050,72982,71556,76172,62134,51269,72927,67712,63356,70179,66037,33047,59095,48502,73008,74084,59792,68647,70896,68588,0,57633,0,72561,82713
"    ""17-3024""",Electro-Mechanical and Mechatronics Technologists and Technicians,52014,0,0,51684,0,0,39309,0,48911,0,53246,0,0,43529,0,0,69785,0,0,59254,0,0,0,0,0,0
"    ""17-3025""",Environmental Engineering Technologists and Technicians,48305,0,0,47741,39493,0,0,37930,45880,37234,55774,0,0,0,0,62338,42767,0,0,48816,0,0,0,0,0,0
"    ""17-3026""",Industrial Engineering Technologists and Technicians,62676,0,0,53057,69701,0,39841,0,68769,60753,56693,63331,0,66043,63439,0,53269,76962,0,61293,0,0,0,84644,60198,55484
"    ""17-3027""",Mechanical Engineering Technologists and Technicians,61400,0,0,47395,83480,0,65431,0,59811,46761,63929,64879,0,58787,0,0,68007,0,0,57514,0,0,61509,0,62005,41461
"    ""17-3031""",Surveying and Mapping Technicians,41848,26898,37929,40226,40445,29158,38735,41587,44162,36638,42940,44178,30789,41298,36436,33363,40579,36850,0,38506,37669,33475,33148,0,40794,48607
"    ""17-3098""","Calibration Technols & Techs & Engrng Technols & Techs, Ex Drafters, AO",57953,0,43069,66385,76667,0,30717,62501,61697,64141,54734,0,0,57306,41337,45476,59856,39296,72538,54524,0,63377,53893,0,53085,64711
"    ""19-0000""","Life, Physical, and Social Science Occupations",64671,57936,59528,61223,70010,54886,47035,60011,66736,58423,70293,64011,54737,58683,49723,59287,58551,55736,49842,66234,58909,64373,55101,65123,60763,59758
"    ""19-1011""",Animal Scientists,47822,0,0,0,0,0,44653,0,49314,0,0,0,0,0,48249,0,0,0,0,0,0,0,0,0,0,0
"    ""19-1012""",Food Scientists and Technologists,68556,0,0,56736,0,0,0,0,75282,0,65950,0,0,0,59861,0,0,0,0,85015,0,0,0,0,0,0
"    ""19-1013""",Soil and Plant Scientists,54401,0,19690,0,0,0,0,0,75213,0,68868,0,0,0,50916,0,0,0,0,0,0,0,0,0,0,0
"    ""19-1021""",Biochemists and Biophysicists,71748,0,0,63480,0,0,55797,0,77816,0,71482,0,0,0,0,0,0,0,0,84804,0,0,0,0,0,0
"    ""19-1022""",Microbiologists,55173,0,0,50344,0,0,0,0,62560,0,53690,0,0,0,0,19641,0,0,0,72608,0,0,0,0,0,0
"    ""19-1023""",Zoologists and Wildlife Biologists,64506,0,0,60794,0,0,19823,0,73452,0,87087,0,0,0,0,0,0,0,0,61506,0,0,0,0,0,0
"    ""19-1029""","Biological Scientists, All Other",84572,0,0,78550,84397,0,56386,86643,86185,0,94592,0,0,0,0,81842,0,0,0,79501,0,0,0,0,0,0
"    ""19-1031""",Conservation Scientists,57711,0,59228,56979,48792,50968,52911,55463,57544,51809,44977,61433,44866,0,57805,0,48779,0,0,0,0,0,0,0,44600,0
"    ""19-1032""",Foresters,67782,0,0,64606,0,0,0,0,65713,0,80757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""19-1041""",Epidemiologists,66514,0,0,61073,0,0,0,0,73083,65706,65544,64663,0,0,0,0,0,0,0,81152,0,0,0,0,0,0
"    ""19-1042""","Medical Scientists, Except Epidemiologists",62188,0,0,71076,0,0,61221,0,63907,57078,61692,61001,0,0,0,53412,0,0,0,60080,0,0,0,0,0,0
"    ""19-1099""","Life Scientists, All Other",51329,0,0,81102,0,0,85889,0,102129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""19-2011""",Astronomers,111207,0,0,0,0,0,0,0,0,0,132803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""19-2012""",Physicists,111297,0,0,71063,0,0,0,0,129139,0,105961,0,0,0,0,0,0,0,0,103960,0,0,0,0,0,0
"    ""19-2021""",Atmospheric and Space Scientists,99385,0,0,93541,0,0,58584,83886,109283,0,98965,0,0,0,76728,0,0,0,0,95946,0,0,0,0,0,0
"    ""19-2031""",Chemists,81158,0,0,60679,111768,0,47242,106328,72009,76215,93709,0,0,84609,54096,0,50577,54271,0,72879,0,66143,0,0,0,0
"    ""19-2032""",Materials Scientists,78768,0,0,127538,0,0,0,0,83581,0,94134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""19-2041""","Environmental Scientists and Specialists, Including Health",70944,0,0,70600,91686,0,50455,72544,72236,85549,75799,66128,0,60599,55311,64234,107930,59622,57922,0,0,81836,66173,0,0,0
"    ""19-2042""","Geoscientists, Except Hydrologists and Geographers",152397,83304,83456,89644,0,0,52709,0,0,0,173091,0,0,69457,61451,0,154733,123124,0,105242,0,0,161130,0,0,78895
"    ""19-2043""",Hydrologists,81493,0,0,63511,0,0,0,0,96488,0,118325,0,0,0,0,0,0,0,0,92720,0,0,0,0,0,0
"    ""19-2099""","Physical Scientists, All Other",61076,88036,50592,71770,0,0,44811,59992,0,64020,96174,0,0,0,56173,60004,0,0,0,101052,0,0,0,0,0,0
"    ""19-3011""",Economists,100887,0,0,58768,0,0,49453,0,107509,0,107941,0,0,0,0,0,0,0,0,97724,0,0,0,0,0,0
"    ""19-3022""",Survey Researchers,49841,0,0,0,0,0,0,0,49386,0,0,0,0,0,0,0,0,0,0,37866,0,0,0,0,0,0
"    ""19-3031""","Clinical, Counseling, and School Psychologists",68044,55830,68477,64060,63598,65622,49194,61326,72913,0,72783,67279,67727,66487,51228,73060,62282,0,60606,67890,73137,63330,58355,59036,62859,61492
"    ""19-3032""",Industrial-Organizational Psychologists,59160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""19-3039""","Psychologists, All Other",105391,0,0,0,0,0,0,0,101624,0,115383,0,0,0,0,0,0,0,0,104126,0,0,0,0,0,0
"    ""19-3041""",Sociologists,59496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""19-3051""",Urban and Regional Planners,69196,61085,62474,63380,60384,50417,89119,67841,75136,54940,70747,61799,51312,0,57937,52040,0,0,0,73731,0,0,0,0,62195,0
"    ""19-3091""",Anthropologists and Archeologists,65440,0,0,59905,0,0,0,0,89781,0,78145,0,0,0,0,0,0,0,0,55496,0,0,0,0,0,0
