SOC,SOC Title,Statewide,Abilene,Amarillo,Austin-Round Rock,Beaumont-Port Arthur,Brownsville-Harlingen,College Station-Bryan,Corpus Christi,Dallas-Fort Worth-Arlington,El Paso,Houston-The Woodlands-Sugarland,Killeen-Temple,Laredo,Longview,Lubbock,McAllen-Edinburg-Mission,Midland,Odessa,San Angelo,San Antonio-New Braunfels,Sherman-Denison,Texarkana,Tyler,Victoria,waco,Wichita Falls
"    ""11-3031""",Financial Managers,184242,150551,153734,183974,142534,105792,160366,164130,195303,130370,192791,156276,165304,164109,164759,116960,175185,184102,178822,172162,109858,126181,136945,165002,162607,121347
"    ""11-3051""",Industrial Production Managers,150120,136613,158774,152207,174856,163156,135449,133747,151869,159438,155128,160740,165383,142621,122685,83748,159069,168258,141543,134828,131489,124687,120489,137354,137623,156472
"    ""11-3061""",Purchasing Managers,161886,0,101169,148845,128976,124724,125991,131151,159027,124757,182649,138857,0,0,121415,101077,175814,123311,110323,139016,104944,133218,134092,0,134801,119468
"    ""11-3071""","Transportation, Storage, and Distribution Managers",123100,93872,109567,118285,112781,92209,103685,117111,123153,110268,135599,121174,105276,140154,94039,97938,125794,114156,86060,114957,104822,95716,107369,135083,110840,91768
"    ""11-3111""",Compensation and Benefits Managers,136026,0,0,129237,105198,0,0,132147,143792,114633,140327,156026,0,0,0,0,120178,0,62356,124339,0,0,0,0,0,0
"    ""11-3121""",Human Resources Managers,153746,78851,123061,150437,132306,126499,139824,135209,157847,114506,164993,133490,114571,131714,122738,122189,128634,141102,106875,152673,119557,133555,118173,126393,125797,103061
"    ""11-3131""",Training and Development Managers,148157,0,128706,146524,146162,50722,124688,0,155103,131531,157812,96526,0,0,137431,114619,127418,0,0,121606,0,0,0,0,135547,0
"    ""11-9013""","Farmers, Ranchers, and Other Agricultural Managers",107015,0,0,0,0,0,0,0,86118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""11-9021""",Construction Managers,112298,92257,102760,115581,110390,86717,94013,109074,112689,90983,118201,101950,0,107705,94154,105087,128840,136196,90324,100182,108033,80586,75832,91717,86982,0
"    ""11-9031""","Education and Childcare Administrators, Preschool and Daycare",64628,0,0,48325,0,72116,46801,46416,62952,0,72654,93956,69126,0,0,46161,75559,43290,46333,66930,0,33623,71214,0,0,92362
"    ""11-9032""","Education Administrators, Kindergarten through Secondary",97203,86571,100238,102031,93132,90256,89154,104777,97820,97852,103793,86707,93745,95934,89184,97264,97997,88199,88128,98132,89732,84867,88561,76831,87314,86296
"    ""11-9033""","Education Administrators, Postsecondary",136679,0,115062,159105,0,115269,143716,123473,136993,117906,132560,118453,0,0,0,138474,0,142935,105710,137428,0,0,145586,0,0,0
"    ""11-9039""","Education Administrators, All Other",99633,0,118168,112784,0,0,0,0,98189,76626,100963,57627,0,0,0,99473,90367,0,120374,97241,0,0,84234,0,73285,106367
"    ""11-9041""",Architectural and Engineering Managers,206381,152404,226379,202160,200002,157397,193523,192550,185967,149891,231060,175982,0,181329,136744,0,233507,216288,224045,169773,136921,183920,196643,196104,160498,0
"    ""11-9051""",Food Service Managers,67736,65102,67007,72675,57860,63435,67409,73021,70315,60958,66972,65987,71397,81567,67403,60249,76607,64879,64013,61990,79684,65704,58022,64360,66003,63296
"    ""11-9071""",Gambling Managers,65287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""11-9081""",Lodging Managers,71149,0,67770,65554,63476,57490,56210,68297,71793,64528,105501,51485,0,0,0,47638,59001,59533,51456,0,64182,44284,0,62105,65606,0
"    ""11-9111""",Medical and Health Services Managers,134769,129450,122741,134583,116938,127967,125458,115708,139075,120208,138698,141127,106343,99224,148756,121576,120958,121925,115629,140527,110009,107309,118531,110535,0,114246
"    ""11-9121""",Natural Sciences Managers,154764,0,0,172367,0,0,126818,125868,147610,117379,165387,124548,0,156613,134121,116574,154386,0,0,147004,0,0,0,0,0,0
"    ""11-9131""",Postmasters and Mail Superintendents,88260,89939,0,98595,87346,0,0,93114,95138,0,93962,93272,0,82402,86312,90345,0,0,0,93063,84934,0,0,0,90719,0
"    ""11-9141""","Property, Real Estate, and Community Association Managers",111453,0,0,0,53930,42034,94012,60364,114749,66928,114438,63559,0,67836,86678,0,139559,63833,52154,105153,77378,58010,111499,58300,64683,39154
"    ""11-9151""",Social and Community Service Managers,87311,70853,78996,85216,76787,68703,79517,109305,93211,89385,90257,84863,84701,80443,75870,97114,87543,76616,66122,89686,84474,71679,76647,65679,81909,82784
"    ""11-9161""",Emergency Management Directors,112038,0,0,106597,96590,0,0,83720,120281,105814,129677,0,0,0,0,83579,0,0,0,112663,0,0,0,0,98512,0
"    ""11-9171""",Funeral Home Managers,86513,0,0,0,0,0,0,0,0,0,0,75358,0,0,0,0,0,0,0,0,0,0,0,0,0,91711
"    ""11-9198""","Personal Svc Mgrs, AO; Entertainment & Rec Mgrs, Ex Gambling; & Mgrs, AO",152815,116579,148555,145477,131129,120459,121064,119890,165092,120332,160616,141058,125175,148451,122589,112928,154113,114373,123286,140771,126213,125268,134043,148935,160199,98937
"    ""13-0000""",Business and Financial Operations Occupations,95805,81576,87728,91898,93009,78023,77733,86705,100265,81114,101578,85217,75684,85251,76731,77106,110776,90155,78715,89352,74219,81792,88112,89483,77181,81085
"    ""13-1011""","Agents and Business Managers of Artists, Performers, and Athletes",78283,0,0,61864,0,0,0,0,0,0,126891,0,0,0,0,0,0,0,0,60507,0,0,0,0,0,0
"    ""13-1020""",Buyers and Purchasing Agents,92065,61236,78810,76024,73820,56496,64609,73103,102967,68056,96006,81217,62484,68965,59236,57146,109166,73282,69245,91286,58421,76826,85865,66843,64899,62296
"    ""13-1031""","Claims Adjusters, Examiners, and Investigators",83264,0,82577,73824,0,0,0,79156,87409,80606,91795,70014,84811,0,71505,0,0,84387,78356,76145,93435,99012,81389,0,77024,71545
"    ""13-1032""","Insurance Appraisers, Auto Damage",79153,0,0,0,0,0,0,0,77546,0,75945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""13-1041""",Compliance Officers,90734,78493,74749,78338,80672,93162,74627,72999,93201,92794,101799,78404,83665,63268,76619,84466,90397,65227,85649,85563,77109,73517,66697,64117,71633,78476
"    ""13-1051""",Cost Estimators,86544,85042,72338,87614,103670,76161,75595,85382,87622,64701,91363,71271,85630,76732,79027,63395,91018,75482,85755,83093,56828,70062,71065,82863,72709,69888
"    ""13-1071""",Human Resources Specialists,82144,61364,71774,93757,72041,57854,70053,73153,82345,64802,84170,71841,53795,66602,61947,57518,77983,69253,65073,84161,56880,67504,59591,78953,64681,63454
"    ""13-1075""",Labor Relations Specialists,76944,0,0,63090,110849,32626,0,76834,81167,72684,64852,62397,0,0,0,0,0,0,0,85243,0,0,47961,0,58408,0
"    ""13-1081""",Logisticians,96067,80093,73637,77551,105669,76428,67990,91527,90029,86011,112611,97383,77801,93286,74147,74376,92753,96434,98602,96105,73945,75293,65250,86387,93813,84215
"    ""13-1111""",Management Analysts,111960,93132,90993,104180,155964,60930,97176,93163,115282,101950,123250,88008,94036,116300,79232,86956,140782,174981,94830,97202,94057,76189,86813,173955,86115,81613
"    ""13-1121""","Meeting, Convention, and Event Planners",60491,45607,41286,58308,49413,47712,46435,47804,61793,54874,63864,49596,41426,48692,48705,34543,71349,48615,57204,66388,34314,0,43429,0,0,56317
"    ""13-1131""",Fundraisers,73714,46304,49872,71066,54177,58827,67625,61905,75487,63670,81163,76128,0,0,55418,77931,51621,61411,0,66781,0,0,59522,0,0,55326
"    ""13-1141""","Compensation, Benefits, and Job Analysis Specialists",80283,0,54835,77409,69764,63131,62928,87104,81799,65729,83497,73982,56978,69096,41301,65941,73100,0,65145,81799,0,0,58993,0,67277,64529
"    ""13-1151""",Training and Development Specialists,82506,53716,63752,73650,84509,59289,74384,66338,85788,62161,92895,77668,58572,74514,54530,65368,83007,77318,56505,72213,53504,47884,68444,79891,74263,71260
"    ""13-1161""",Market Research Analysts and Marketing Specialists,93583,51283,71282,93097,87666,71816,63800,76929,102568,68049,87990,89689,61728,70909,67283,72417,88204,71411,52530,83919,71457,69849,88699,51420,64854,77739
"    ""13-1198""","Project Management Specs & Business Operations Specs, AO",103685,76485,99711,103470,107423,80070,82820,95537,106007,79600,110622,92569,74096,93691,77882,81127,113350,94050,89617,92979,76915,80354,83325,93233,81598,79739
"    ""13-2011""",Accountants and Auditors,94731,85191,97438,90247,88822,70457,72108,85443,98914,77565,98778,81634,72133,98132,86023,74453,127397,99784,78235,87210,97496,80399,93798,87612,79045,85215
"    ""13-2020""",Property Appraisers and Assessors,79427,183504,92432,66404,65134,0,53099,67552,83112,58444,92886,63979,53171,54131,78231,68205,110727,65192,76081,82940,0,0,80472,62951,65826,64370
"    ""13-2031""",Budget Analysts,91956,68496,66524,79675,84369,64289,83593,82288,96011,78337,108200,85619,68364,68899,63107,77349,0,76950,0,88969,0,80888,70546,0,71806,73211
"    ""13-2041""",Credit Analysts,91417,0,90620,86515,67343,0,75673,98435,92220,71247,97511,58761,80571,65582,119263,86606,89327,0,0,97940,0,0,54246,0,75472,59465
"    ""13-2052""",Personal Financial Advisors,123207,114565,99617,103738,119646,0,136327,120458,132415,143098,115693,114001,0,69640,99376,142934,155009,0,0,126385,0,156521,215679,111196,115411,0
"    ""13-2053""",Insurance Underwriters,88306,0,0,103877,0,0,0,0,88522,85049,87173,50229,0,0,0,105063,0,0,0,80697,0,0,69538,0,75865,0
"    ""13-2061""",Financial Examiners,98823,0,72734,92399,59313,0,75591,0,105222,0,104357,73096,0,94213,96143,92470,84570,0,0,94876,55540,95173,76656,0,85080,0
"    ""13-2071""",Credit Counselors,48016,41801,38782,49747,68974,42356,48400,40218,50306,41966,48148,39487,37914,38055,37698,45161,0,0,56070,48712,0,0,0,0,50511,0
"    ""13-2072""",Loan Officers,102957,90463,117426,98148,98691,87357,98136,95890,111137,94490,96261,114997,86293,92882,97007,87427,105282,107868,66614,106321,81453,106048,147098,81660,95999,105331
"    ""13-2081""","Tax Examiners and Collectors, and Revenue Agents",69080,0,79139,52628,0,76859,0,63511,102737,69635,107823,0,60140,0,0,66652,0,0,0,88365,0,0,0,0,51915,0
"    ""13-2082""",Tax Preparers,97616,66909,0,0,63924,0,95861,56037,0,40458,0,22577,0,0,0,66107,0,0,66693,84612,67253,50862,0,0,52487,46614
"    ""13-2098""","Fin & Investment Analysts, Fin Risk Specs, & Fin Specs, AO",105485,75503,86994,94248,90230,81765,89706,83064,106269,81605,118446,89993,83776,88791,74468,87696,115042,105911,94033,95659,53087,69059,80619,100972,78302,98552
"    ""15-0000""",Computer and Mathematical Occupations,114283,73777,90590,113208,98226,69911,87228,90731,117740,82850,120038,95010,74315,89090,74720,75121,0,89024,89577,107103,93041,78289,87430,80301,84307,0
"    ""15-1211""",Computer Systems Analysts,124738,75310,89133,99021,125819,83350,91649,116901,120953,88510,148270,91862,92869,111895,92174,74327,0,95412,89088,116788,91000,67732,83248,89923,93524,84241
"    ""15-1212""",Information Security Analysts,132722,103290,107886,132897,0,0,105549,102489,135869,117423,138946,105798,0,86713,100180,100416,123685,121294,75502,111698,0,0,116116,0,98947,100528
"    ""15-1221""",Computer and Information Research Scientists,145980,0,0,135848,0,0,0,0,154584,0,141576,0,0,0,0,0,0,0,0,137426,0,0,0,0,0,0
"    ""15-1231""",Computer Network Support Specialists,92168,50438,55379,74203,72975,72880,81015,64781,105805,57380,96664,85061,62469,61901,59976,55964,97536,54888,80028,72243,60736,49700,62964,0,75105,54209
"    ""15-1232""",Computer User Support Specialists,60124,52514,56328,62874,56090,42466,52517,49384,60694,49909,63402,59730,44777,59029,53831,48056,60644,48102,51248,57136,57436,57889,55478,52034,51562,57901
"    ""15-1241""",Computer Network Architects,143955,0,127444,166441,124263,0,98798,0,142019,130326,137450,101207,0,122522,117339,109835,115830,101668,0,137214,0,0,138921,0,114732,100264
"    ""15-1244""",Network and Computer Systems Administrators,100605,73673,91394,99274,94941,58597,78242,68240,102826,77694,111655,88355,76150,80958,78266,79100,108825,93557,87495,92538,89063,78212,94694,89528,82324,78496
"    ""15-1245""",Database Administrators and Architects,124356,102734,94997,134061,104593,79307,100950,126746,122547,95901,122664,100435,105054,124762,122989,95342,115500,102496,97439,122008,123528,0,89821,0,102302,0
"    ""15-1251""",Computer Programmers,122770,70423,124024,107031,98527,71430,126082,88151,134549,101174,118707,123266,81112,91424,70341,83296,143521,97229,106231,116430,0,0,83214,106166,82099,92459
"    ""15-1256""",Software Developers and Software Quality Assurance Analysts and Testers,127125,111916,110653,127503,122298,100793,107453,120955,128315,108252,126481,114134,110744,112131,87629,124639,120920,101523,127133,127283,111103,103643,102123,77930,126782,0
"    ""15-1257""",Web Developers and Digital Interface Designers,91563,76123,58437,94151,75128,71508,66123,62930,96073,66319,87333,77443,67631,53484,54293,59952,0,65087,80424,92742,0,0,67372,0,78458,82390
"    ""15-1299""","Computer Occupations, All Other",108095,55397,82850,109924,82963,93752,84791,87051,114232,90505,105384,92765,81496,69909,75536,85302,103982,119604,84261,104823,94984,0,89753,0,84645,93934
"    ""15-2011""",Actuaries,139890,0,0,140252,0,0,0,0,146852,0,129424,0,0,0,0,0,0,0,0,171698,0,0,0,0,0,0
"    ""15-2021""",Mathematicians,78747,0,0,0,0,0,0,0,87840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""15-2031""",Operations Research Analysts,103815,0,102933,101204,0,0,77100,96884,102696,82718,114769,116040,76761,105951,84839,80051,111734,0,0,101224,0,0,0,0,93208,0
"    ""15-2041""",Statisticians,102928,0,0,107629,0,86931,63394,0,109118,93071,103931,0,0,0,0,0,0,0,0,90946,83548,0,0,0,0,0
"    ""15-2098""","Data Scientists and Mathematical Science Occupations, All Other",120278,0,0,123002,0,0,0,0,119513,100762,127198,112654,0,0,0,0,0,0,0,109795,0,0,0,0,0,0
"    ""17-0000""",Architecture and Engineering Occupations,117191,88951,112788,109565,123996,84235,64122,106630,117356,84497,129802,90517,77590,94114,93272,85224,139033,112411,0,98519,96901,85617,90835,113753,99338,0
"    ""17-1011""","Architects, Except Landscape and Naval",101984,91851,97375,94904,0,0,83268,86113,100233,85359,112973,94166,0,0,126169,73349,60436,0,0,88081,0,0,84140,0,75180,86678
"    ""17-1012""",Landscape Architects,84124,0,76535,86138,0,0,0,0,74066,0,80116,0,0,0,0,0,0,0,0,92476,0,0,0,0,0,0
"    ""17-1021""",Cartographers and Photogrammetrists,80329,0,0,75053,68814,51432,0,68184,89000,58473,80365,77006,0,74595,74594,0,83878,0,0,77492,0,0,78800,0,0,0
"    ""17-1022""",Surveyors,79204,64782,64394,94468,78418,61630,79592,75377,79285,63730,84196,68373,119810,64302,53167,53684,72326,0,0,67171,82397,72295,60464,0,0,0
"    ""17-2011""",Aerospace Engineers,148930,0,0,149635,0,0,57488,112993,149087,0,154003,0,0,0,0,0,0,0,0,131690,0,0,0,0,145132,0
"    ""17-2021""",Agricultural Engineers,112753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""17-2031""",Bioengineers and Biomedical Engineers,107386,0,0,130001,0,0,49189,0,106961,0,106844,0,0,0,0,0,0,0,0,115755,0,0,0,0,0,0
"    ""17-2041""",Chemical Engineers,164301,0,0,154433,163321,0,65427,138212,157036,0,173300,0,0,0,0,0,185302,0,0,0,0,0,136818,0,128402,0
"    ""17-2051""",Civil Engineers,113558,101277,95288,108195,103945,85161,88526,98954,127014,79403,120255,90015,86515,96305,85057,102500,141338,121337,95259,94576,75128,99667,102100,103029,76826,67766
"    ""17-2061""",Computer Hardware Engineers,134999,0,0,137710,0,0,43355,0,137195,0,132050,0,0,0,0,0,0,0,0,119637,0,0,0,0,0,0
"    ""17-2071""",Electrical Engineers,124774,108071,129062,124656,133186,121197,50420,116324,122898,97831,129760,121808,85558,97815,97947,130088,133472,121717,0,106846,0,93918,107125,0,104914,136993
"    ""17-2072""","Electronics Engineers, Except Computer",141099,0,117249,157395,0,0,77180,101544,147433,117673,130526,102683,0,0,102732,0,104884,119957,0,110762,0,0,123938,0,151239,0
"    ""17-2081""",Environmental Engineers,128943,0,114307,117189,151006,0,46674,122421,130958,131266,133459,88410,0,83181,0,81858,115801,0,0,117896,0,0,0,0,105720,0
"    ""17-2111""","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",125918,0,101418,123859,124505,0,76767,97762,112824,106840,140057,0,0,119058,0,116962,110210,117034,0,126282,0,0,0,0,108030,0
"    ""17-2112""",Industrial Engineers,122222,121888,119427,115157,120988,97808,73955,125065,114392,105168,149468,100770,92118,101620,92165,104955,124595,112707,131079,108886,89095,92624,0,110951,109735,106069
"    ""17-2121""",Marine Engineers and Naval Architects,145936,0,0,0,103498,0,0,0,0,0,157390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""17-2131""",Materials Engineers,129341,0,0,120768,123060,0,61214,110515,123338,85453,151583,0,0,108819,0,0,0,0,0,117792,0,0,0,0,118132,0
"    ""17-2141""",Mechanical Engineers,121001,87408,123684,109552,147222,100074,52823,119968,123427,87899,125628,108022,0,110691,95268,94937,137111,94320,123390,115716,92869,102726,0,115833,115030,96607
"    ""17-2151""","Mining and Geological Engineers, Including Mining Safety Engineers",134514,0,0,106891,0,0,0,0,131315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""17-2161""",Nuclear Engineers,144577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""17-2171""",Petroleum Engineers,206219,0,0,167198,218417,0,0,0,0,0,214062,0,0,161379,0,164927,171783,170624,176606,186713,0,0,156016,156060,0,215532
"    ""17-2199""","Engineers, All Other",144859,0,142171,129778,156334,0,90932,107088,140291,104292,159848,133013,0,130825,82362,152352,158336,171497,0,138996,121464,121019,0,125464,128204,145648
"    ""17-3011""",Architectural and Civil Drafters,65884,55043,63357,66611,74547,45420,67919,65307,63936,45692,69964,60866,56536,75826,51470,53402,77693,56792,61676,70289,50769,0,64340,59537,56160,53578
"    ""17-3012""",Electrical and Electronics Drafters,74920,63881,65534,75790,0,0,62296,0,74483,43710,76573,0,0,0,71363,49052,74350,0,0,64953,0,0,0,0,63871,0
"    ""17-3013""",Mechanical Drafters,70565,50747,56023,64193,72331,54786,74146,0,69289,57855,75732,60422,0,63250,43678,38860,72808,70901,0,68573,67596,74118,51262,0,63108,62066
"    ""17-3019""","Drafters, All Other",59599,0,0,57707,58826,0,0,0,55276,51208,62668,56715,0,0,0,41084,0,0,0,56595,0,0,60051,0,0,0
"    ""17-3021""",Aerospace Engineering and Operations Technologists and Technicians,80509,0,0,72956,0,0,0,0,85584,0,103911,0,0,0,0,0,0,0,0,82661,0,0,0,0,82583,0
"    ""17-3022""",Civil Engineering Technologists and Technicians,55419,47919,0,71574,42432,39990,45696,60242,51333,41785,68477,47609,48150,58364,50922,49759,81793,54335,48055,54857,42131,43240,48999,38840,40377,46712
"    ""17-3023""",Electrical and Electronic Engineering Technologists and Technicians,81575,72876,80175,78932,83579,72325,59553,85501,85705,77354,82460,74569,42820,69089,62783,82356,83525,68723,81743,79491,73498,0,66170,0,81104,88714
"    ""17-3024""",Electro-Mechanical and Mechatronics Technologists and Technicians,62519,0,0,61029,0,0,43155,0,59548,0,62668,0,0,48462,0,0,75582,0,0,70756,0,0,0,0,0,0
"    ""17-3025""",Environmental Engineering Technologists and Technicians,64326,0,0,56488,57677,0,0,45537,61087,43330,74463,0,0,0,0,69501,55084,0,0,62313,0,0,0,0,0,0
"    ""17-3026""",Industrial Engineering Technologists and Technicians,78130,0,0,65802,86984,0,70096,0,84816,72053,74689,79171,0,72424,87844,0,81945,100342,0,73107,0,0,0,100985,69692,63319
"    ""17-3027""",Mechanical Engineering Technologists and Technicians,79057,0,0,63478,100079,0,78732,0,75190,58884,78956,75589,0,69760,0,0,108177,0,0,72422,0,0,82671,0,66882,52772
"    ""17-3031""",Surveying and Mapping Technicians,50763,38818,51058,49503,49090,34627,53439,49163,51853,42638,52800,51275,41687,48292,44645,40278,47207,41507,0,49424,48538,36676,41832,0,50775,61990
"    ""17-3098""","Calibration Technols & Techs & Engrng Technols & Techs, Ex Drafters, AO",77365,0,71979,83373,94811,0,42019,79580,76901,73603,80676,0,0,77341,60239,59502,74166,59832,77637,66667,0,69191,73930,0,64184,73207
"    ""19-0000""","Life, Physical, and Social Science Occupations",93865,72975,81260,81730,88089,71160,63850,78100,90795,77041,109858,81601,70556,76710,66316,75193,100232,83644,71878,91023,74551,76833,71936,82128,81075,75366
"    ""19-1011""",Animal Scientists,66098,0,0,0,0,0,54225,0,96025,0,0,0,0,0,67630,0,0,0,0,0,0,0,0,0,0,0
"    ""19-1012""",Food Scientists and Technologists,87588,0,0,72990,0,0,0,0,94798,0,82627,0,0,0,65276,0,0,0,0,98151,0,0,0,0,0,0
"    ""19-1013""",Soil and Plant Scientists,81749,0,47589,0,0,0,0,0,99497,0,80677,0,0,0,67228,0,0,0,0,0,0,0,0,0,0,0
"    ""19-1021""",Biochemists and Biophysicists,91904,0,0,99515,0,0,70621,0,89164,0,86428,0,0,0,0,0,0,0,0,108097,0,0,0,0,0,0
"    ""19-1022""",Microbiologists,68577,0,0,57663,0,0,0,0,76666,0,65513,0,0,0,0,46067,0,0,0,87821,0,0,0,0,0,0
"    ""19-1023""",Zoologists and Wildlife Biologists,79636,0,0,76549,0,0,42939,0,83543,0,106468,0,0,0,0,0,0,0,0,76556,0,0,0,0,0,0
"    ""19-1029""","Biological Scientists, All Other",98727,0,0,90149,88825,0,80241,97971,96690,0,111840,0,0,0,0,86685,0,0,0,97718,0,0,0,0,0,0
"    ""19-1031""",Conservation Scientists,70143,0,65832,66206,59047,58260,66197,62848,73703,66595,60136,74596,52777,0,75511,0,57703,0,0,0,0,0,0,0,55060,0
"    ""19-1032""",Foresters,76526,0,0,79788,0,0,0,0,71181,0,87740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""19-1041""",Epidemiologists,81514,0,0,66942,0,0,0,0,91811,78932,79610,79317,0,0,0,0,0,0,0,93282,0,0,0,0,0,0
"    ""19-1042""","Medical Scientists, Except Epidemiologists",86521,0,0,99280,0,0,81742,0,87169,78868,82631,92465,0,0,0,63220,0,0,0,80132,0,0,0,0,0,0
"    ""19-1099""","Life Scientists, All Other",87127,0,0,106484,0,0,106905,0,128424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""19-2011""",Astronomers,136255,0,0,0,0,0,0,0,0,0,158172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""19-2012""",Physicists,141330,0,0,109133,0,0,0,0,167984,0,141723,0,0,0,0,0,0,0,0,123082,0,0,0,0,0,0
"    ""19-2021""",Atmospheric and Space Scientists,122143,0,0,117022,0,0,62911,99112,128733,0,138722,0,0,0,96069,0,0,0,0,109485,0,0,0,0,0,0
"    ""19-2031""",Chemists,110785,0,0,79354,129654,0,55229,118642,94609,97521,128713,0,0,98383,62991,0,74438,92949,0,101242,0,75945,0,0,0,0
"    ""19-2032""",Materials Scientists,102878,0,0,160331,0,0,0,0,108581,0,110898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""19-2041""","Environmental Scientists and Specialists, Including Health",99987,0,0,81080,112999,0,64315,82021,94354,92792,114741,75564,0,80786,62808,72121,124500,80297,64303,0,0,88403,88158,0,0,0
"    ""19-2042""","Geoscientists, Except Hydrologists and Geographers",209373,122823,140152,125894,0,0,76326,0,0,0,230940,0,0,101613,70818,0,210016,183770,0,138817,0,0,224633,0,0,107273
"    ""19-2043""",Hydrologists,100082,0,0,75700,0,0,0,0,105453,0,135732,0,0,0,0,0,0,0,0,104373,0,0,0,0,0,0
"    ""19-2099""","Physical Scientists, All Other",101628,104549,68843,92995,0,0,62108,71535,0,77328,131916,0,0,0,74890,69246,0,0,0,115296,0,0,0,0,0,0
"    ""19-3011""",Economists,127694,0,0,93768,0,0,74387,0,139005,0,126923,0,0,0,0,0,0,0,0,120399,0,0,0,0,0,0
"    ""19-3022""",Survey Researchers,69899,0,0,0,0,0,0,0,71814,0,0,0,0,0,0,0,0,0,0,49070,0,0,0,0,0,0
"    ""19-3031""","Clinical, Counseling, and School Psychologists",85122,62663,83105,91306,70947,72161,62759,87064,83963,0,96336,85908,73518,72521,65525,83168,66144,0,103871,87838,87854,82403,70598,75539,84686,76878
"    ""19-3032""",Industrial-Organizational Psychologists,74215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""19-3039""","Psychologists, All Other",114334,0,0,0,0,0,0,0,111911,0,122143,0,0,0,0,0,0,0,0,109915,0,0,0,0,0,0
"    ""19-3041""",Sociologists,79424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""19-3051""",Urban and Regional Planners,83571,78632,82172,74366,66076,65070,107568,78865,88336,72555,84309,73102,75409,0,126680,78611,0,0,0,90511,0,0,0,0,78168,0
"    ""19-3091""",Anthropologists and Archeologists,82216,0,0,69347,0,0,0,0,104531,0,87649,0,0,0,0,0,0,0,0,71169,0,0,0,0,0,0
