SOC,SOC Title,Statewide,Abilene,Amarillo,Austin-Round Rock,Beaumont-Port Arthur,Brownsville-Harlingen,College Station-Bryan,Corpus Christi,Dallas-Fort Worth-Arlington,El Paso,Houston-The Woodlands-Sugarland,Killeen-Temple,Laredo,Longview,Lubbock,McAllen-Edinburg-Mission,Midland,Odessa,San Angelo,San Antonio-New Braunfels,Sherman-Denison,Texarkana,Tyler,Victoria,waco,Wichita Falls
"    ""11-3071""","Transportation, Storage, and Distribution Managers",103619,85027,94628,98685,96905,77978,90395,101833,104364,96677,112761,101900,87404,113702,82256,86916,107862,98886,76232,96794,87095,84244,95001,117803,94113,75583
"    ""11-3111""",Compensation and Benefits Managers,115704,0,0,114018,91041,0,0,115905,122621,101910,120624,129270,0,0,0,0,111692,0,60972,102238,0,0,0,0,0,0
"    ""11-3121""",Human Resources Managers,129769,65238,105264,125542,111078,111728,119352,112825,135678,99768,140119,110628,95153,114026,109194,103614,112838,119401,92515,127785,104197,111941,102392,109159,107866,93373
"    ""11-3131""",Training and Development Managers,125804,0,108357,125775,125886,45706,108272,0,132663,114114,132625,89311,0,0,115822,100743,110026,0,0,105584,0,0,0,0,119543,0
"    ""11-9013""","Farmers, Ranchers, and Other Agricultural Managers",85882,0,0,0,0,0,0,0,69529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""11-9021""",Construction Managers,94686,76955,84884,97888,97351,66682,80610,92240,95235,78052,99905,83454,0,89068,85028,85907,108476,111946,77311,85913,95378,71631,66168,76401,74014,0
"    ""11-9031""","Education and Childcare Administrators, Preschool and Daycare",54262,0,0,42682,0,60224,40668,39060,53869,0,61537,76153,60454,0,0,40339,64266,38268,42922,58237,0,28915,57547,0,0,73873
"    ""11-9032""","Education Administrators, Kindergarten through Secondary",87483,77113,87918,90674,84329,82151,81080,93451,88139,88754,92985,79191,86679,86351,80714,88010,86607,79983,77852,88402,83141,76028,79641,70030,78446,77939
"    ""11-9033""","Education Administrators, Postsecondary",112929,0,95536,131334,0,98065,118310,103040,113938,99876,110004,99966,0,0,0,113819,0,118866,86134,111577,0,0,121103,0,0,0
"    ""11-9039""","Education Administrators, All Other",83023,0,99619,90688,0,0,0,0,82888,67611,85197,53162,0,0,0,82269,79967,0,107144,82709,0,0,72868,0,62496,95901
"    ""11-9041""",Architectural and Engineering Managers,173554,131564,199948,170637,167847,134315,161141,169649,157776,124644,194631,152263,0,155525,121260,0,187407,175256,188776,145655,122009,170652,165897,163622,143514,0
"    ""11-9051""",Food Service Managers,58214,55155,56840,60639,49205,55043,56333,59928,60608,52958,58832,55689,57227,66007,59240,50988,67792,53063,54288,54589,68186,54524,50930,57244,56175,57388
"    ""11-9071""",Gambling Managers,49429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""11-9081""",Lodging Managers,58327,0,58768,55797,62482,49872,46825,59043,58115,56838,83311,45595,0,0,0,41491,51045,51840,43635,0,60952,36460,0,51659,55392,0
"    ""11-9111""",Medical and Health Services Managers,110867,107012,103497,111741,99387,103506,103824,98588,113768,101445,114038,121837,89531,80361,121665,99324,105139,104988,98106,115465,96665,92447,99008,86240,0,96866
"    ""11-9121""",Natural Sciences Managers,131531,0,0,144002,0,0,106211,110282,127487,102078,141480,111691,0,129254,115453,103908,130960,0,0,123716,0,0,0,0,0,0
"    ""11-9131""",Postmasters and Mail Superintendents,81565,85798,0,92286,81918,0,0,87810,88254,0,87298,83664,0,78365,81736,85428,0,0,0,87313,80460,0,0,0,85227,0
"    ""11-9141""","Property, Real Estate, and Community Association Managers",86472,0,0,0,45031,33961,73818,51115,88924,55128,92638,54120,0,53031,70799,0,106280,50758,44826,78996,65019,50741,86661,49688,54487,32447
"    ""11-9151""",Social and Community Service Managers,73662,62421,68683,73630,59468,61534,68397,89892,78002,74088,74828,70259,74775,67840,63516,81772,75978,63095,57940,76774,72846,61755,67342,57625,70563,68542
"    ""11-9161""",Emergency Management Directors,92918,0,0,93067,81166,0,0,71373,101596,88789,107779,0,0,0,0,70596,0,0,0,91399,0,0,0,0,82775,0
"    ""11-9171""",Funeral Home Managers,71688,0,0,0,0,0,0,0,0,0,0,65946,0,0,0,0,0,0,0,0,0,0,0,0,0,73967
"    ""11-9198""","Personal Svc Mgrs, AO; Entertainment & Rec Mgrs, Ex Gambling; & Mgrs, AO",129121,95441,121287,124245,110288,108524,103126,103237,139090,110558,134632,117998,115827,123831,101263,102901,123947,93530,102328,120915,106461,102664,103621,120052,133290,80520
"    ""13-0000""",Business and Financial Operations Occupations,79536,67141,71693,77003,76225,64540,65091,71945,83423,66413,84043,70654,62555,70225,64090,63704,89929,74611,64801,75269,60891,67321,71634,74022,64936,67211
"    ""13-1011""","Agents and Business Managers of Artists, Performers, and Athletes",65648,0,0,55303,0,0,0,0,0,0,103292,0,0,0,0,0,0,0,0,49602,0,0,0,0,0,0
"    ""13-1020""",Buyers and Purchasing Agents,76011,52005,66883,65250,63330,47982,55777,58222,85303,55066,79172,67677,52391,58835,52336,49009,89089,62030,59188,75958,51005,63627,70134,57222,54393,52044
"    ""13-1031""","Claims Adjusters, Examiners, and Investigators",70629,0,67296,62533,0,0,0,65595,73817,68124,77821,59741,76403,0,63072,0,0,76104,63650,66715,83128,88607,71169,0,67314,60803
"    ""13-1032""","Insurance Appraisers, Auto Damage",70478,0,0,0,0,0,0,0,69282,0,66765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""13-1041""",Compliance Officers,75804,65837,63074,66588,68399,77131,64962,60771,77725,78875,85633,66441,69891,55070,65459,70553,75690,56045,72198,71859,66432,61785,58241,56128,63001,70512
"    ""13-1051""",Cost Estimators,73150,69677,61283,75706,87688,62806,65196,71921,73568,52547,78305,60357,72172,66458,67242,53330,78895,63746,69423,69798,50386,58677,59522,69992,62152,61268
"    ""13-1071""",Human Resources Specialists,69235,52888,61889,78411,60284,48745,61211,61722,70358,53694,71517,60950,45305,57128,53915,49507,65587,58955,55876,71855,48936,58454,51408,65220,55633,53191
"    ""13-1075""",Labor Relations Specialists,58735,0,0,49292,99092,29238,0,68743,60182,62353,49984,56602,0,0,0,0,0,0,0,74585,0,0,37878,0,53364,0
"    ""13-1081""",Logisticians,80892,72924,65322,66186,90248,67380,60363,81304,76654,74003,92485,83891,63950,75966,67201,64068,78670,81863,85172,83818,67338,64102,56420,77274,79885,72334
"    ""13-1111""",Management Analysts,95731,78894,73477,90804,127760,52340,83692,83409,98745,86696,103725,77312,76949,97943,66110,76016,115041,134393,80957,84257,80449,60594,71844,146073,74950,70626
"    ""13-1121""","Meeting, Convention, and Event Planners",50843,40150,36326,49850,42779,42959,42739,40589,52492,43955,54032,44707,36547,40153,41833,28907,59041,44494,49094,54395,28682,0,39121,0,0,46905
"    ""13-1131""",Fundraisers,62602,38388,44781,61159,48451,54338,57576,54477,64715,52142,70238,67364,0,0,49349,69390,48203,55314,0,55770,0,0,52336,0,0,44262
"    ""13-1141""","Compensation, Benefits, and Job Analysis Specialists",68897,0,48263,66602,59665,55805,56455,72507,70943,55785,72323,63243,50046,59697,38013,56834,65421,0,57162,69162,0,0,52965,0,58348,56685
"    ""13-1151""",Training and Development Specialists,68022,45136,54150,61995,69783,50842,61445,54425,72264,51323,75167,64483,52194,62035,43887,55749,69236,66751,45383,61358,46744,40845,55117,66759,62628,61131
"    ""13-1161""",Market Research Analysts and Marketing Specialists,76841,45009,57944,77764,71982,57677,55051,63689,84319,55956,72071,72453,52127,58304,54890,60722,71077,61163,40853,69171,59061,57659,71165,41632,53713,64757
"    ""13-1198""","Project Management Specs & Business Operations Specs, AO",85866,66104,81930,86263,86006,68697,69700,80496,89073,66007,90657,78971,58259,76888,65775,67741,91022,76851,75880,78414,64132,70557,67977,77759,68282,66671
"    ""13-2011""",Accountants and Auditors,80168,70551,79674,77545,76289,59676,61084,74174,83854,65810,83818,68953,61618,82416,72261,63671,103121,83608,66234,74373,81395,66679,79023,77751,68860,72210
"    ""13-2020""",Property Appraisers and Assessors,66122,139314,76736,59019,56777,0,46432,60227,69845,51635,77267,53330,51128,49228,64027,57856,90923,56932,64586,70167,0,0,69332,55359,56118,56171
"    ""13-2031""",Budget Analysts,79199,63402,57865,71765,75061,58810,72074,71974,82034,68979,91493,76064,58898,63182,56139,68124,0,70525,0,77774,0,70440,65089,0,62177,67677
"    ""13-2041""",Credit Analysts,76743,0,74800,72945,58522,0,67770,81194,77889,62367,81841,50390,66510,59061,94421,72965,78306,0,0,80499,0,0,48438,0,63298,56133
"    ""13-2052""",Personal Financial Advisors,99347,97186,84951,84910,96420,0,101934,96487,105401,119913,95528,93023,0,64670,83281,111980,123099,0,0,101383,0,121742,169695,93624,95106,0
"    ""13-2053""",Insurance Underwriters,75353,0,0,87659,0,0,0,0,76416,72211,73101,45473,0,0,0,85723,0,0,0,68220,0,0,64099,0,64298,0
"    ""13-2061""",Financial Examiners,82889,0,60312,78394,54239,0,66890,0,87978,0,89994,60103,0,77765,82058,75042,71736,0,0,82398,49141,81233,65222,0,76155,0
"    ""13-2071""",Credit Counselors,42186,37707,35310,44348,54980,40387,44359,37106,43836,37344,42578,34845,34425,34227,34403,39989,0,0,50023,43116,0,0,0,0,45340,0
"    ""13-2072""",Loan Officers,82133,73086,92477,80751,80857,71489,84536,76762,87304,75266,77623,92141,72108,73111,80575,69224,85383,86182,58772,85233,65487,82840,114689,68962,79369,85220
"    ""13-2081""","Tax Examiners and Collectors, and Revenue Agents",58395,0,68780,47069,0,63912,0,56356,87433,58301,88129,0,51382,0,0,55890,0,0,0,75959,0,0,0,0,47205,0
"    ""13-2082""",Tax Preparers,73486,59653,0,0,54836,0,80580,46769,0,33899,0,20858,0,0,0,53159,0,0,54314,68095,50641,40922,0,0,42643,42347
"    ""13-2098""","Fin & Investment Analysts, Fin Risk Specs, & Fin Specs, AO",87873,63028,71119,81132,71161,67869,74046,66022,89296,69426,98084,75340,68412,71901,63164,71042,94186,88969,78953,80633,44829,55315,67183,78928,66709,84839
"    ""15-0000""",Computer and Mathematical Occupations,93690,61970,73820,93188,79359,57515,72484,73372,97536,67558,97957,78474,60326,73043,62603,61627,0,72963,73097,88131,76038,64900,71320,65627,67770,0
"    ""15-1211""",Computer Systems Analysts,104688,64759,79505,85653,104616,70515,79262,99135,103129,77730,124073,74927,79292,93521,79101,65971,0,82154,76567,99264,78061,59108,71482,81623,79055,71186
"    ""15-1212""",Information Security Analysts,113399,91815,92649,112114,0,0,91332,87510,117485,98620,118704,89713,0,73586,90660,86934,105189,103795,57721,96488,0,0,99694,0,79374,88692
"    ""15-1221""",Computer and Information Research Scientists,126287,0,0,117520,0,0,0,0,134247,0,125051,0,0,0,0,0,0,0,0,120102,0,0,0,0,0,0
"    ""15-1231""",Computer Network Support Specialists,76951,45304,50019,63478,64302,62439,68718,54476,89608,52165,81174,72808,54836,54890,54293,49442,81679,51088,67921,62265,54567,44231,54214,0,64461,48290
"    ""15-1232""",Computer User Support Specialists,50649,45464,48693,53838,47378,37185,45095,43565,51546,42212,51786,51032,37618,50445,46222,42082,51456,41669,43764,49086,49213,49019,45540,45003,42096,49997
"    ""15-1241""",Computer Network Architects,121914,0,106660,136226,108678,0,86260,0,122019,116018,117390,89081,0,101356,97864,97373,99257,92120,0,116959,0,0,113716,0,91004,83006
"    ""15-1244""",Network and Computer Systems Administrators,86844,65852,81024,85402,80405,51928,69585,58953,89924,68557,96087,77317,66117,70374,69999,69314,91708,81489,73538,81103,78299,70218,81163,78146,73135,68905
"    ""15-1245""",Database Administrators and Architects,106278,86791,81244,113089,89056,63974,88876,105313,106050,79517,103798,85461,86119,101104,100040,82031,99832,86307,88826,107269,99885,0,81430,0,88201,0
"    ""15-1251""",Computer Programmers,102648,64158,103949,88239,82907,65471,100504,74856,112052,83507,103643,105765,71597,74939,62835,74300,119385,78011,91974,96572,0,0,74316,93186,70637,80991
"    ""15-1256""",Software Developers and Software Quality Assurance Analysts and Testers,109574,93408,87765,109126,101756,83124,91683,102974,111176,92264,109588,97652,88649,96364,75147,100501,107303,89879,109235,109577,96835,92459,90910,64785,105660,0
"    ""15-1257""",Web Developers and Digital Interface Designers,76474,64311,48137,81210,63637,61274,59799,48636,79839,57433,73431,62737,55656,43847,45600,49323,0,53027,68690,76718,0,0,56996,0,65790,69306
"    ""15-1299""","Computer Occupations, All Other",89840,46223,69491,90139,66807,75951,70772,72261,95548,74799,87640,78640,65853,58020,63651,70540,89286,102469,73357,90902,75719,0,76065,0,72316,83560
"    ""15-2011""",Actuaries,119167,0,0,116931,0,0,0,0,125841,0,111346,0,0,0,0,0,0,0,0,142553,0,0,0,0,0,0
"    ""15-2021""",Mathematicians,66862,0,0,0,0,0,0,0,65615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""15-2031""",Operations Research Analysts,87090,0,88738,84807,0,0,66032,81083,87089,68847,94634,100480,67752,91759,71391,65062,93211,0,0,85320,0,0,0,0,76352,0
"    ""15-2041""",Statisticians,87253,0,0,89943,0,74144,51989,0,95874,87922,87215,0,0,0,0,0,0,0,0,77091,67819,0,0,0,0,0
"    ""15-2098""","Data Scientists and Mathematical Science Occupations, All Other",104170,0,0,107984,0,0,0,0,103864,90784,110448,97561,0,0,0,0,0,0,0,94186,0,0,0,0,0,0
"    ""17-0000""",Architecture and Engineering Occupations,94017,73679,90437,90080,100121,67249,50615,86443,95243,68777,103509,75539,62444,76691,73927,67916,108204,91519,0,81191,80180,69796,73039,94454,81816,0
"    ""17-1011""","Architects, Except Landscape and Naval",84877,78274,81771,79352,0,0,68081,80417,83168,73530,95494,82063,0,0,101342,66481,49533,0,0,73459,0,0,75090,0,55824,76619
"    ""17-1012""",Landscape Architects,70068,0,67258,72085,0,0,0,0,61157,0,70553,0,0,0,0,0,0,0,0,79986,0,0,0,0,0,0
"    ""17-1021""",Cartographers and Photogrammetrists,68758,0,0,65468,59777,46211,0,60138,77500,50991,67460,69656,0,64314,66552,0,74046,0,0,67139,0,0,69693,0,0,0
"    ""17-1022""",Surveyors,66250,57036,52538,77787,64976,54793,68370,61447,66851,55652,69899,56388,95168,52840,50108,44081,63797,0,0,59324,67209,59390,55387,0,0,0
"    ""17-2011""",Aerospace Engineers,128330,0,0,127675,0,0,53901,100642,128458,0,135493,0,0,0,0,0,0,0,0,115772,0,0,0,0,126180,0
"    ""17-2021""",Agricultural Engineers,90659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""17-2031""",Bioengineers and Biomedical Engineers,86896,0,0,107664,0,0,40924,0,89306,0,93066,0,0,0,0,0,0,0,0,97416,0,0,0,0,0,0
"    ""17-2041""",Chemical Engineers,138603,0,0,126160,140747,0,59620,121925,128926,0,147311,0,0,0,0,0,158102,0,0,0,0,0,117547,0,112384,0
"    ""17-2051""",Civil Engineers,94266,84921,80814,91665,87321,73299,68735,84108,104254,69474,99826,79993,75857,80566,70217,85178,112377,99782,80456,82707,68143,84694,84599,84329,67508,58279
"    ""17-2061""",Computer Hardware Engineers,113606,0,0,116869,0,0,36467,0,116909,0,111163,0,0,0,0,0,0,0,0,104119,0,0,0,0,0,0
"    ""17-2071""",Electrical Engineers,107274,96874,110139,108345,113870,102648,41001,104398,106237,86230,113594,110384,80986,88284,82305,109310,109820,104938,0,93800,0,88191,93554,0,90696,117252
"    ""17-2072""","Electronics Engineers, Except Computer",120708,0,109492,134111,0,0,58976,88796,126799,103434,112963,93362,0,0,92049,0,93238,101922,0,95168,0,0,108366,0,126023,0
"    ""17-2081""",Environmental Engineers,108271,0,100303,93147,127998,0,36884,108108,114173,109385,113050,78262,0,72010,0,70682,98995,0,0,106067,0,0,0,0,91097,0
"    ""17-2111""","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",106325,0,95385,105806,110880,0,67646,86087,97737,97671,116569,0,0,103767,0,94892,91456,111217,0,110211,0,0,0,0,97870,0
"    ""17-2112""",Industrial Engineers,103261,103447,102836,100389,105435,86689,64379,105481,97993,90693,123510,87024,78709,87562,78466,88055,109281,94985,111439,93045,79748,78206,0,98273,94322,92316
"    ""17-2121""",Marine Engineers and Naval Architects,118235,0,0,0,85875,0,0,0,0,0,125396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""17-2131""",Materials Engineers,108711,0,0,102264,102639,0,56193,99599,104295,72739,127504,0,0,97304,0,0,0,0,0,102690,0,0,0,0,108236,0
"    ""17-2141""",Mechanical Engineers,102660,80913,106108,95954,123698,82929,42309,105146,105087,73476,106644,91465,0,94785,81830,83595,117693,86563,108479,98600,79178,90435,0,102851,98832,85416
"    ""17-2151""","Mining and Geological Engineers, Including Mining Safety Engineers",106403,0,0,89041,0,0,0,0,110388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""17-2161""",Nuclear Engineers,108354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""17-2171""",Petroleum Engineers,169758,0,0,141273,185126,0,0,0,0,0,178237,0,0,130742,0,136811,134001,137201,152261,153688,0,0,126289,124499,0,174913
"    ""17-2199""","Engineers, All Other",120955,0,119346,107867,133596,0,75106,89018,118174,95670,134785,119537,0,112485,62151,133716,138467,139377,0,118380,102885,109085,0,107253,109264,123585
"    ""17-3011""",Architectural and Civil Drafters,56347,46469,53623,57269,64452,38500,55402,58268,55340,39695,59543,53649,48765,60232,43111,45394,62529,49711,55250,59927,44985,0,53645,54636,47517,49614
"    ""17-3012""",Electrical and Electronics Drafters,62815,61216,54752,62818,0,0,52563,0,62476,37583,64835,0,0,0,60722,44419,64398,0,0,56601,0,0,0,0,60547,0
"    ""17-3013""",Mechanical Drafters,60104,45791,51801,55698,60928,47433,61272,0,59310,48017,64275,51298,0,56228,34823,34856,58682,62886,0,59930,59961,59960,45918,0,55337,52856
"    ""17-3019""","Drafters, All Other",50382,0,0,49347,50954,0,0,0,49343,42192,52665,49248,0,0,0,33102,0,0,0,46394,0,0,49939,0,0,0
"    ""17-3021""",Aerospace Engineering and Operations Technologists and Technicians,69439,0,0,65174,0,0,0,0,74110,0,93103,0,0,0,0,0,0,0,0,72347,0,0,0,0,74444,0
"    ""17-3022""",Civil Engineering Technologists and Technicians,48251,44119,0,60935,38782,36860,39655,51859,45635,36781,56745,43291,42950,50604,45586,45161,69005,47941,43272,48989,38895,40452,44698,37373,38374,42811
"    ""17-3023""",Electrical and Electronic Engineering Technologists and Technicians,70085,69146,73060,69951,74807,61373,51711,73940,72160,65345,70936,69400,35021,61309,53780,74401,74100,63207,71029,68697,67876,0,55763,0,72738,82709
"    ""17-3024""",Electro-Mechanical and Mechatronics Technologists and Technicians,54431,0,0,53338,0,0,40219,0,51858,0,55838,0,0,42516,0,0,67431,0,0,59969,0,0,0,0,0,0
"    ""17-3025""",Environmental Engineering Technologists and Technicians,54239,0,0,49760,49965,0,0,40490,51912,38488,62270,0,0,0,0,57190,47693,0,0,52569,0,0,0,0,0,0
"    ""17-3026""",Industrial Engineering Technologists and Technicians,65026,0,0,55304,72033,0,58449,0,72276,61893,61763,67901,0,62461,70587,0,66454,86026,0,61740,0,0,0,86817,60175,54055
"    ""17-3027""",Mechanical Engineering Technologists and Technicians,65380,0,0,53366,83310,0,63774,0,62379,52421,66395,66658,0,62188,0,0,88941,0,0,60837,0,0,68842,0,59980,45319
"    ""17-3031""",Surveying and Mapping Technicians,44065,33475,41686,43240,42494,29711,43881,42995,45535,36899,45893,44635,35938,41211,39222,35213,41097,37882,0,42283,41749,32150,36990,0,43540,52210
"    ""17-3098""","Calibration Technols & Techs & Engrng Technols & Techs, Ex Drafters, AO",63288,0,58976,70449,78603,0,35391,64755,65652,61799,64415,0,0,63327,50080,50358,62994,51624,68291,57118,0,58216,61723,0,54602,67460
"    ""19-0000""","Life, Physical, and Social Science Occupations",75547,61361,65473,68178,72877,58465,51787,63741,73579,62808,87498,67670,57249,64301,55098,62338,77490,67259,55904,75997,62844,65205,59918,69511,67315,62274
"    ""19-1011""",Animal Scientists,55192,0,0,0,0,0,47829,0,75747,0,0,0,0,0,55663,0,0,0,0,0,0,0,0,0,0,0
"    ""19-1012""",Food Scientists and Technologists,74047,0,0,60973,0,0,0,0,80129,0,71164,0,0,0,58014,0,0,0,0,82417,0,0,0,0,0,0
"    ""19-1013""",Soil and Plant Scientists,63986,0,37494,0,0,0,0,0,84599,0,68840,0,0,0,57569,0,0,0,0,0,0,0,0,0,0,0
"    ""19-1021""",Biochemists and Biophysicists,77936,0,0,81708,0,0,61989,0,80201,0,75535,0,0,0,0,0,0,0,0,90405,0,0,0,0,0,0
"    ""19-1022""",Microbiologists,59790,0,0,52541,0,0,0,0,66423,0,57811,0,0,0,0,36631,0,0,0,75127,0,0,0,0,0,0
"    ""19-1023""",Zoologists and Wildlife Biologists,65315,0,0,64578,0,0,34394,0,74771,0,91779,0,0,0,0,0,0,0,0,65115,0,0,0,0,0,0
"    ""19-1029""","Biological Scientists, All Other",84740,0,0,80718,82942,0,66645,86637,83908,0,96165,0,0,0,0,74959,0,0,0,83701,0,0,0,0,0,0
"    ""19-1031""",Conservation Scientists,60504,0,57459,58113,52492,53307,56115,55990,63596,58799,52641,65661,48108,0,63861,0,51673,0,0,0,0,0,0,0,50217,0
"    ""19-1032""",Foresters,68749,0,0,70059,0,0,0,0,67205,0,75588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""19-1041""",Epidemiologists,71724,0,0,62006,0,0,0,0,79946,65634,70414,69131,0,0,0,0,0,0,0,81100,0,0,0,0,0,0
"    ""19-1042""","Medical Scientists, Except Epidemiologists",73663,0,0,82964,0,0,70007,0,74905,66852,70604,76756,0,0,0,57235,0,0,0,69977,0,0,0,0,0,0
"    ""19-1099""","Life Scientists, All Other",64507,0,0,93709,0,0,86148,0,103982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""19-2011""",Astronomers,111179,0,0,0,0,0,0,0,0,0,133077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""19-2012""",Physicists,112060,0,0,90939,0,0,0,0,139586,0,117716,0,0,0,0,0,0,0,0,108190,0,0,0,0,0,0
"    ""19-2021""",Atmospheric and Space Scientists,102557,0,0,101607,0,0,57460,85505,108971,0,113074,0,0,0,82133,0,0,0,0,99537,0,0,0,0,0,0
"    ""19-2031""",Chemists,90365,0,0,68153,110540,0,50375,104816,78949,80816,104603,0,0,81943,55699,0,61954,77263,0,85116,0,67127,0,0,0,0
"    ""19-2032""",Materials Scientists,78945,0,0,128741,0,0,0,0,90674,0,93220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""19-2041""","Environmental Scientists and Specialists, Including Health",84088,0,0,71899,95937,0,55360,74163,80764,84207,93784,68702,0,68482,56928,61178,100643,72498,58815,0,0,78748,73494,0,0,0
"    ""19-2042""","Geoscientists, Except Hydrologists and Geographers",166717,105248,113158,103520,0,0,66244,0,0,0,188403,0,0,81365,63585,0,167036,147081,0,113522,0,0,175447,0,0,96418
"    ""19-2043""",Hydrologists,85264,0,0,67122,0,0,0,0,89481,0,114965,0,0,0,0,0,0,0,0,93020,0,0,0,0,0,0
"    ""19-2099""","Physical Scientists, All Other",79719,91622,58782,80147,0,0,50277,62087,0,69224,106053,0,0,0,65120,59984,0,0,0,98714,0,0,0,0,0,0
"    ""19-3011""",Economists,103247,0,0,77715,0,0,61452,0,115102,0,106592,0,0,0,0,0,0,0,0,107860,0,0,0,0,0,0
"    ""19-3022""",Survey Researchers,58568,0,0,0,0,0,0,0,59770,0,0,0,0,0,0,0,0,0,0,43025,0,0,0,0,0,0
"    ""19-3031""","Clinical, Counseling, and School Psychologists",73163,56162,72300,75339,65283,66566,54700,73839,74366,0,81086,74016,67148,65037,54924,74307,62744,0,85529,76968,78078,72935,61179,66532,71978,64499
"    ""19-3032""",Industrial-Organizational Psychologists,64823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""19-3039""","Psychologists, All Other",98407,0,0,0,0,0,0,0,89833,0,103870,0,0,0,0,0,0,0,0,96075,0,0,0,0,0,0
"    ""19-3041""",Sociologists,68559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    ""19-3051""",Urban and Regional Planners,72059,68168,71226,64064,61106,57300,90446,68539,77124,63134,74284,65336,65563,0,95047,64146,0,0,0,77549,0,0,0,0,70700,0
"    ""19-3091""",Anthropologists and Archeologists,71630,0,0,61831,0,0,0,0,90729,0,79005,0,0,0,0,0,0,0,0,62288,0,0,0,0,0,0
